user_pseudo_id,nav_screen_views,nav_distinct_categories,nav_transitions,nav_distinct_transitions,nav_self_loops,nav_cnt_game_over,nav_cnt_shop,nav_cnt_steps,nav_cnt_ad,nav_cnt_level_select
E99D4AD5E5663BABE4AC08C027C775EF,759,9,404,26,94,130,43,142,55,19
68B5D960072F6FE9F0A5E5E01695F332,431,9,201,24,40,78,20,54,18,16
FCA08F9B0DCB6E33A74F672CE7F73BE3,149,9,70,24,14,17,7,24,15,3
1C9927831BAA7A0569130EADD6320C69,298,9,142,25,37,32,11,26,19,12
248A372CD2ED3B5D62866E77AC6D661B,969,9,442,25,89,187,39,119,45,23
94866E8443CF7CA975A9D30FA8D488EC,206,9,83,23,21,43,3,3,9,4
772FA77A888E21BA03492B789D70D44C,157,9,61,23,14,32,4,15,10,3
C8B06F76EE9091107007C19B08C7834E,224,9,105,26,24,29,9,27,11,10
5F72C8757B169882D52BFBC7CDE1B9EC,294,9,131,25,25,37,14,35,20,3
1BE1C7EAA4E06021D7A92461C2B01E80,89,10,62,24,16,20,5,14,9,3
0AAAEC4E502388A6A087D2E70BDD2BEA,300,9,146,23,40,53,10,38,29,10
3082CDD760FB4C2F5BAE25E78DD0B000,491,9,203,23,43,77,14,30,3,31
A6CC977A53243EE9A419FB3CDA0561EF,195,9,94,25,21,19,8,16,16,10
8E150A8839C964819CC821BABA13E2A7,395,9,173,23,41,58,11,32,11,21
957033925A8B7F2A2C2F4577E786632D,212,9,99,23,20,28,9,22,6,9
71381569682468BBBB8936278290D669,538,9,270,25,66,100,27,98,46,11
57AF44C73C2441BB587970ACDD4B9B48,292,9,137,23,32,66,9,24,27,11
737952B0FC3F8BA5F86475FED13242F9,900,9,437,24,94,193,32,89,85,19
AF4B8330C3684466EDA299756EA2F041,603,9,278,25,72,62,17,38,45,25
BE0755F3D6B18FFBA63C9137B89DBAE7,377,9,190,25,30,57,24,62,25,7
BE0BF91461B9097C1A9D0F98E6C30E65,576,9,286,25,84,108,14,48,39,45
F7612205BAFC8569AF251DAD4F4CF37E,242,9,125,24,25,34,11,28,15,6
69085111386F1EB6418038E55A8AB149,220,9,115,24,30,29,9,24,6,7
45601EB90D6F1D6D7627EF554693E1A1,558,9,239,25,53,124,13,37,18,7
3883775AD957247EE86DB4402FA748F4,950,9,442,23,93,217,35,86,89,25
06FC465CE7377E44C22F05D2A83EAED2,940,9,470,24,98,194,46,113,15,42
6C93FEA18D6B045DBB398D2CA27670C5,348,9,163,26,39,53,16,42,6,4
19468A045EF4156EE861B01E23F8E781,152,9,70,24,20,27,2,3,12,10
66C0CEE58B84347037AC48E64B52C47F,561,9,287,26,57,93,39,123,27,16
8B9934BC891E0F96EE43914E6EF11A7E,363,9,174,24,37,63,19,61,19,8
1AD0B20B27274364A2C61556C48DBF35,521,9,278,23,76,132,26,104,40,18
A22203F592493C8C4E00D05C9FE26403,190,9,83,25,16,21,9,25,10,8
C20630B2B28362756090FA8E81663519,279,9,158,25,20,19,28,80,10,10
21800364E4A96B779C0E2ED76E4972B4,429,9,212,23,36,32,26,50,43,3
2E576595B5FF8D66CA224AFADAE588B4,536,9,239,23,57,97,13,32,21,26
2647E2B707BE004C03EE487685B75C77,239,9,118,24,25,41,12,36,3,8
D5A644624E0D407445643D503F43B944,126,9,58,24,14,18,3,3,5,7
153EB882FE1C43202528F580B9B5A250,226,9,114,23,29,36,11,32,6,8
E1525CE476796BA226E0B42E9287A82D,543,9,257,24,48,124,26,69,33,16
CF9265E07AD603201AC4E10FA990E639,352,9,147,24,37,51,9,23,12,17
1FC1BA4F917C03B0BC9F0AF8349D79F8,507,8,250,24,54,35,28,48,18,9
908D6EB0646A0411AB2B0D6DB73A241F,106,9,51,23,11,11,4,9,9,3
850B0D07591E5AEF71E97AB739BAD953,585,9,305,23,74,119,32,110,31,10
07A99B74B4D496F6BAFF9945E0A77245,142,9,68,24,15,9,7,18,11,4
244301BD63080095E545DC9446957C57,125,9,62,23,18,12,2,3,6,18
C5894857AF2A8C446F4BEF7280E8435C,438,9,224,25,57,72,19,60,8,17
7819DEAF5F409484F5D496529800EBE3,469,9,223,23,51,110,13,36,30,19
20A3F94DE1F057B2684F1DC00D5BE0B6,124,9,56,24,12,15,4,9,6,7
018D9A140B327998E49E56FF12ECE76D,72,10,50,23,10,12,9,16,3,3
CBE46C4DA9660AFDEE8E0E78BAA4689F,4,1,0,0,0,0,0,0,0,0
BDBDEA1D7E80DCB7F8CFE54D0955C094,1,1,0,0,0,0,0,0,0,0
